aa,oo
ae,ae
ah,ah
ao,ao
ax,ax
eh,eh
er,er
ih,ih
iy,iy
uh,uh
uw,uw
aw,aw
ay,ay
ey,ey
ow,ow
oy,oy
b,b
ch,ch
d,d
dh,dh
dx,dx
el,el
f,f
g,g
hh,hh
jh,jh
k,k
l,l
m,m
n,n
ng,ng
p,p
q,q
r,r
s,s
sh,sh
t,t
th,th
v,v
w,w
y,y
z,z
zh,zh
