a,aa
@,ae
&,ae
u,a
0,oo
x,a
e,e
3,@
i,i
E,ii
6,u
I,ay
8,aw
O,ow
Q,oy
b,b
ch,ch
d,d
dh,dh
dd,t
f,f
g,g
h,h
hh,h
j,j
l,l
m,m
n,n
ng,ng
p,p
r,r
s,s
sh,sh
t,t
th,th
v,v
w,w
y,y
z,z
zh,jj
