aa V
ae V
ah V
ao V
ax T
eh V
er T
ih V
iy V
uh V
uw V
aw T
ay T
ey T
ow T
oy T
b P
ch P
d P
dh V
dx P
el T
f C
g P
hh C
jh T
k P
l T
m V
n V
ng T
p P
q T
r V
s P
sh C
t P
th C
v V
w T
y V
z V
zh V
