sh P
ch P
ky T
Ny T
hy T
my T
ry T
gy T
jy T
by T
dy T
hy T
ty T
th P
dh P
rr V
ts P
a V
e V
i V
o V
u V
n V
N T
k P
g P
s P
z P
j T
t P
d P
h P
f P
b P
p P
m T
y T
r P
w T
v T
l T
R C
