aa V
ae V
ao V
aor T
aw T
ay T
a T
ea V
ey T
e T
ii V
ie V
i T
oo V
ow T
oy T
o T
uu V
ua V
u T
b P
c P
d P
f C
g P
h C
j T
jj V
k P
l V
m V
n V
ng T
p P
r T
s C
sh C
t P
th C
dh V
v T
w T
y T
z T
