sh C
ch C
ky T
Ny T
hy T
my T
ry T
gy T
jy T
by T
dy T
hy T
ty T
th P
dh P
rr V
ts P
a V
e V
i V
o V
u V
n V
N T
k P
g P
s C
z C
j V
t P
d P
h C
f C
b P
p P
m V
y T
r C
w V
v V
l V
R C
